t,z,f
0,17.4524235813685,0
0.1,17.1775337343122,-0.72
0.2,17.2297010288413,-1.44
0.3,17.2989851197234,-2.16
0.4,17.3721630106196,-2.88
0.5,17.3783261801893,-3.6
0.6,17.3725185129262,-4.32
0.7,17.3873151767804,-5.04
0.8,17.6866522699861,-5.76
0.9,17.9938113182748,-6.48
1,17.9707695439305,-7.2
1.1,18.0853811386156,-7.92
1.2,18.2626347628545,-8.64
1.3,18.4544197105499,-9.36
1.4,18.6758164443833,-10.08
1.5,18.7035527467086,-10.8
1.6,18.8214637937274,-11.52
1.7,18.9107806993347,-12.24
1.8,18.6764643066036,-12.96
1.9,18.4472849650651,-13.68
2,18.2837212337646,-14.4
2.1,18.4538940535663,-15.12
2.2,18.5032877566074,-15.84
2.3,18.5684158638491,-16.56
2.4,18.7360440797641,-17.28
2.5,18.7867344892676,-18
2.6,18.7415920886927,-18.72
2.7,18.8305507960797,-19.44
2.8,19.0962403410683,-20.16
2.9,19.437640341742,-20.88
3,19.6265805852742,-21.6
3.1,19.7514397836821,-22.32
3.2,19.8630631395699,-23.04
3.3,19.9710932304749,-23.76
3.4,19.9755240609018,-24.48
3.5,19.793891190649,-25.2
3.6,19.824616044445,-25.92
3.7,19.8075632220436,-26.64
3.8,19.7983459864683,-27.36
3.9,19.9707440172249,-28.08
4,20.1940663371422,-28.8
4.1,20.448800257274,-29.52
4.2,20.6944028601132,-30.24
4.3,20.9626192484358,-30.96
4.4,21.2243258859111,-31.68
4.5,21.6886423232262,-32.4
4.6,22.0712733827256,-33.12
4.7,22.5976779822323,-33.84
4.8,22.9078126489718,-34.56
4.9,23.1569835534266,-35.28
5,23.4440470862702,-36
5.1,23.6652544489242,-36.72
5.2,24.0199187950034,-37.44
5.3,24.2554442066845,-38.16
5.4,24.5063901073179,-38.88
5.5,24.6229368686184,-39.6
5.6,25.032705738782,-40.32
5.7,25.3301522245205,-41.04
5.8,25.7441879683438,-41.76
5.9,26.2612196023748,-42.48
6,26.7140319963683,-43.2
6.1,26.8458638645095,-43.92
6.2,27.0957659614746,-44.64
6.3,27.5503739608463,-45.36
6.4,27.8725164833575,-46.08
6.5,28.3130740498623,-46.8
6.6,28.5806832615211,-47.52
6.7,28.8218747460296,-48.24
6.8,29.1971662042855,-48.96
6.9,29.7523915391292,-49.68
7,30.3215480386634,-50.4
7.1,30.926898446237,-51.12
7.2,31.589056742381,-51.84
7.3,32.5361449704443,-52.56
7.4,33.492674914129,-53.28
7.5,34.5536974592248,-54
7.6,35.4941771657576,-54.72
7.7,36.708040599947,-55.44
7.8,38.0551283566151,-56.16
7.9,39.4088805398355,-56.88
8,40.7314184100607,-57.6
8.1,42.1486443300242,-58.32
8.2,43.6607789551357,-59.04
8.3,45.0233869458333,-59.76
8.4,46.3447819390724,-60.48
8.5,47.6246379661048,-61.2
8.6,48.9930531696877,-61.92
8.7,50.0541133631717,-62.64
8.8,51.3576279140126,-63.36
8.9,52.6780320199036,-64.08
9,54.2380824668567,-64.8
9.1,55.6412699265337,-65.52
9.2,57.1108268657118,-66.24
9.3,58.6422316286243,-66.96
9.4,60.6115080034713,-67.68
9.5,62.4457141852802,-68.4
9.6,64.0857713596802,-69.12
9.7,65.5912509082207,-69.84
9.8,67.2852572567811,-70.56
9.9,68.8013018421794,-71.28
10,70.3521384281043,-72
10.1,72.1634202441131,-72.72
10.2,73.8362734283303,-73.44
10.3,75.8753036355057,-74.16
10.4,77.7651813345407,-74.88
10.5,79.7879264427897,-75.6
10.6,81.8753364638831,-76.32
10.7,83.7648048198465,-77.04
10.8,85.7842628399374,-77.76
10.9,87.5750957252799,-78.48
11,89.492812421031,-79.2
11.1,91.3430185221002,-79.92
11.2,92.8881834239241,-80.64
11.3,94.7747706332536,-81.36
11.4,96.2855307272762,-82.08
11.5,97.8539190224288,-82.8
11.6,99.0322536557012,-83.52
11.7,99.9024993703423,-84.24
11.8,100.703208280785,-84.96
11.9,101.653325209859,-85.68
12,101.92716703949,-86.4
12.1,102.792460042747,-87.12
12.2,103.285725897886,-87.84
12.3,104.005562667861,-88.56
12.4,104.928421294432,-89.28
12.5,105.602637228392,-90
12.6,106.235768202151,-90.72
12.7,106.931838073582,-91.44
12.8,107.651170502162,-92.16
12.9,108.79694149044,-92.88
13,110.656958032571,-93.6
13.1,112.192745650263,-94.32
13.2,114.031176346812,-95.04
13.3,116.057071182531,-95.76
13.4,117.922798084185,-96.48
13.5,119.708702127235,-97.2
13.6,121.321853700798,-97.92
13.7,123.072377665682,-98.64
13.8,124.906803750176,-99.36
13.9,127.305191924473,-100.08
14,129.396941606893,-100.8
14.1,131.148303622713,-101.52
14.2,132.80649568316,-102.24
14.3,135.071017927638,-102.96
14.4,136.885161504678,-103.68
14.5,139.45120777806,-104.4
14.6,141.952598079388,-105.12
14.7,144.329090393006,-105.84
14.8,146.473778328932,-106.56
14.9,148.30023788014,-107.28
15,150.531557892866,-108
15.1,153.166458393486,-108.72
15.2,155.88759271569,-109.44
15.3,158.409913149629,-110.16
15.4,161.200234711746,-110.88
15.5,163.82062472835,-111.6
15.6,166.829979006409,-112.32
15.7,169.713056330261,-113.04
15.8,172.30118351639,-113.76
15.9,175.330049941669,-114.48
16,178.127413909819,-115.2
16.1,181.422644866958,-115.92
16.2,184.216524177445,-116.64
16.3,186.947858776017,-117.36
16.4,189.881111761294,-118.08
16.5,193.21613749595,-118.8
16.6,196.584069117697,-119.52
16.7,200.115639072262,-120.24
16.8,203.419983386603,-120.96
16.9,206.754135428806,-121.68
17,210.094845978021,-122.4
17.1,213.712944614266,-123.12
17.2,217.174015005423,-123.84
17.3,220.514113662434,-124.56
17.4,223.423699670169,-125.28
17.5,225.90246911966,-126
17.6,228.503455273429,-126.72
17.7,231.380250793394,-127.44
17.8,234.362294916375,-128.16
17.9,237.243370216466,-128.88
18,240.643549066594,-129.6
18.1,244.002592500763,-130.32
18.2,248.869183315371,-131.04
18.3,254.098409639646,-131.76
18.4,258.843874229176,-132.48
18.5,264.208212306004,-133.2
18.6,269.723532224798,-133.92
18.7,275.655657011582,-134.64
18.8,281.990900758262,-135.36
18.9,289.30256898776,-136.08
19,298.382838065086,-136.8
